Country,Value
Ingen stillingsbetegnelse hos DST,31
Softwareudvikling,26
Web- og multimedieudvikling,8
Systemanalytikerarbejde,7
Almindeligt kontorarbejde,6
Brugersupportarbejde inden for informations- og kommunikationsteknologi,5
Salgsarbejde i butik,5
Andet arbejde med software, herunder test og kvalitetssikring,4
Vedligeholdelse og dokumentation af software,2
Rengøringsarbejde undtagen i private hjem,2
Andet arbejde med databaser og netværk,1
Arbejde med opfyldning af lager og butik,1
Almindeligt kontor- og kundeservicearbejde ikke klassificeret andetsteds,1
Køkkenhjælp mv.,1
Forefaldende arbejde,1
Andet manuelt arbejde,1
